time,error,control,position,target,P,I,D
1.0,74.75,115.24,8.29,83.04,1.49,113.75,-0.0
2.01,45.49,285.05,37.77,83.26,0.91,284.14,-0.0
3.01,16.31,371.5,67.17,83.48,0.33,371.18,-0.0
4.01,-1.36,0.0,84.84,83.48,0.0,0.0,0.0
5.02,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
6.02,-1.58,0.0,84.84,83.26,0.0,0.0,0.0
7.03,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
8.03,-1.36,0.0,84.84,83.48,0.0,0.0,0.0
9.03,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
10.03,-1.36,0.0,84.84,83.48,0.0,0.0,0.0
11.04,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
12.04,-1.14,0.0,84.84,83.7,0.0,0.0,0.0
13.04,-1.58,0.0,84.84,83.26,0.0,0.0,0.0
14.05,-1.58,0.0,84.84,83.26,0.0,0.0,0.0
15.05,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
16.05,-2.01,0.0,84.84,82.82,0.0,0.0,0.0
17.05,-1.58,0.0,84.84,83.26,0.0,0.0,0.0
18.06,-1.8,0.0,84.84,83.04,0.0,0.0,0.0
19.06,-1.14,0.0,84.84,83.7,0.0,0.0,0.0
